fourcc	container or leaf	box or fullbox	description	spec
Cr8r	cont	?	?	?
FIEL	cont	?	?	?
FXTC	cont	?	?	?
ID32	leaf	fullbox	ID3 version 2 container	id3v2
NCDT	cont	?	?	Nikon
NCHD	leaf	?	?	Nikon
NCTG	leaf	?	?	Nikon
NCTH	leaf	?	?	Nikon
NCVW	leaf	?	?	Nikon
SDLN	cont	?	User-data XXX	Samsung
UITS	cont	?	Unique Identifier Technology Solution	Universal Music Group
Xtra	leaf	?	?	?
aeLK	cont	?	?	?
ainf	cont	?	Asset information to identify, license and play	DECE
albc	leaf	?	?	?
albm	leaf	fullbox	Album	3GPP
alis	leaf	fullbox	Alias box	QuickTime
alou	cont	?	Album loudness	ISO
altr	leaf	?	?	?
angl	cont	?	Angle	Apple
auth	leaf	fullbox	Author	3GPP
auxC	leaf	?	Image Properties for Auxiliary Images	HEIF
auxl	leaf	?	?	?
avcn	cont	?	AVC NAL Unit Storage Box	DECE
beam	leaf	?	User-data XXX	WhatsApp
bitr	cont	box	Bitrate Box	3GPP
bloc	cont	?	Base location and purchase location for license acquisition	DECE
bpcc	cont	?	Bits per component	JPEG2000
buff	cont	?	Buffering information	NALu Video
bxml	cont	?	Binary XML container	ISO
ccid	cont	?	OMA DRM Content ID	OMA DRM 2.1
cclv	leaf	?	Content colour volume	HEIF
cdef	cont	?	type and ordering of the components within the codestream	JPEG2000
cdep	leaf	?	?	?
cdsc	leaf	?	?	?
chan	cont	fullbox	Audio Channel Layout Atom	QuickTime
chap	leaf	?	Chapter list	QT
chnl	cont	fullbox	Channel Layout	ISO
chpl	leaf	fullbox	chapter list box	adobe
clap	leaf	box	Clean Aperture	HEIF
clef	leaf	fullbox	Track Clean Aperture Dimensions	QT
clfn	leaf	?	Clip file name	Apple
clid	cont	?	Clip identifier	Apple
clip	cont	?	Reserved / clipping region	ISO / QT
clli	leaf	?	Content light level	HEIF
clsf	leaf	fullbox	Classification	3GPP
cmap	cont	?	mapping between a palette and codestream components	JPEG2000
cmid	cont	?	Camera identifier	Apple
cmnm	cont	?	Camera name	Apple
cmov	cont	?	?	?
co64	leaf	fullbox	64-bit chunk offset	ISO
coin	cont	?	Content Information Box	DECE
coll	leaf	fullbox	Collection	3GPP
colr	leaf	box	specifies the colourspace of the image	JPEG2000
cprt	leaf	fullbox	Copyright	ISO
crgn	cont	?	Reserved / Visual clipping region definition	ISO / QT
crhd	cont	?	Reserved for ClockReferenceStream header	MP4v1
crtt	leaf	?	Creation time information	HEIF
cslg	leaf	fullbox	Composition to decode timeline mapping	ISO
ctab	cont	?	Reserved / Track color-table	ISO / QT
ctts	leaf	fullbox	Composition time to sample	ISO
cvru	cont	?	OMA DRM Cover URI	OMA DRM 2.1
d263	cont	box	H263 Specific Box	3GPP
damr	cont	box	AMR Specific Box	3GPP
date	leaf	?	Date and time	Apple
dawp	cont	box	AMRWP Specific Box	3GPP
dcfD	cont	?	Marlin DCF Duration	OMArlin
dimg	leaf	box	?	?
dimm	leaf	box	hint immediate Bytes Sent	ISO
dinf	cont	?	Data information	ISO
dmax	leaf	box	hint longest packet	ISO
dmed	leaf	box	hint media Bytes Sent	ISO
dmix	cont	fullbox	Down Mix Instructions	?
dpnd	leaf	?	MPEG4 reference track	Unknown
dref	cont	fullbox	Data reference	ISO
drep	leaf	box	hint repeated Bytes Sent	ISO
dscp	leaf	fullbox	Description	3GPP
dsgd	cont	?	DVB Sample Group Description Box	DVB
dstg	cont	?	DVB Sample to Group Box	DVB
edts	cont	?	Edit lists	ISO
